1 -6,447243 -50,243045 0
2 -6,446769 -50,242262 0
3 -6,446324 -50,241471 0
4 -6,445884 -50,240704 0
5 -6,445458 -50,239934 0
6 -6,445002 -50,239170 0
7 -6,444568 -50,238371 0
8 -6,444107 -50,237580 0
9 -6,443630 -50,236824 0
10 -6,443273 -50,236178 0
11 -6,442812 -50,235539 0
12 -6,442505 -50,235145 0
13 -6,442018 -50,235342 0
14 -6,441413 -50,235602 0
15 -6,441051 -50,236155 0
16 -6,440374 -50,236174 0
17 -6,440472 -50,236852 0
18 -6,440872 -50,237395 0
19 -6,441239 -50,238032 0
20 -6,441684 -50,238812 0
21 -6,442157 -50,239595 0
22 -6,442588 -50,240363 0
23 -6,443026 -50,241146 0
24 -6,443491 -50,241931 0
25 -6,443928 -50,242720 0
26 -6,444390 -50,243501 0
27 -6,444803 -50,244221 0
